model,sentence,terms,n_pct
Gemma3-4B (ZS),The medium-term operative targets of the company remain unch,neutral | to profit,1
Gemma3-4B (ZS),"Marathon now has a 4.6 percent stake in PLX , it said , acco",percent stake | has,2
Gemma3-4B (ZS),The decision will have to be made whether the group agrees t,decision | finland | to profit | rose to,3
Gemma3-4B (ZS),Since the registration of the shares subscribed in a directe,driving words | rights | issue,3
Gemma3-4B (ZS),Profit after taxes totaled EUR 12.1 mn .,profit after | mn | totaled | taxes | rose to | down from,1
Gemma3-4B (ZS),Finnair PLC carried a record 8.8 million passengers in 2006 ,increase | percent | previous year | to profit,2
Gemma3-4B (ZS),The company operates power plants in the Tyumen and Chelyabi,to profit | rose to,0
Gemma3-4B (ZS),Altogether CapMan employs approximately 150 people in Helsin,to profit | rose to,2
Gemma3-4B (ZS),"An  of the invention , released by the Patent Office , said ",to profit,2
Gemma3-4B (ZS),Operating profit of Kauppalehti group rose to EUR 1.5 mn fro,rose | rose to | to profit | from,3
Gemma3-4B (ZS),The sale price was not disclosed .,neutral,4
Gemma3-4B (ZS),The beers differ slightly from mainstream beers .,neutral | from | from,1
Gemma3-4B (ZS),"Tecnomen , headquartered in Espoo , Finland , develops messa",and | finland | service | headquartered | to profit | rose to | down from | dropped to | from,3
Gemma3-4B (ZS),The site will cover over six hectares .,will | site | to profit | rose to | down from | dropped to | from,1
Gemma3-4B (ZS),4 February 2011 - Finnish broadband data communication syste,profit jump | rose to | to profit | from,3
Gemma3-4B (ZS),Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46,increased | increased by | to | to profit | rose to,1
Gemma3-4B (ZS),The company did not distribute a dividend in 2005 .,neutral | to profit | rose to | down from | dropped to | from | neutral | not | did not,0
Gemma3-4B (ZS),"With five different game modes , co-op tournaments , 4 playe",to profit | rose to | down from | dropped to | from | as | if,1
Gemma3-4B (ZS),Both operating profit and net sales for the six-month period,increased | both | rose to | to profit,1
Gemma3-4B (ZS),Finnish silicon wafer technology company Okmetic Oyj OMX Hel,technology | said | wafer,0
Gemma3-4B (ZS),"Operating loss totalled EUR 4.0 mn , compared to a profit of",operating loss | to profit | dropped to | down from,3
Gemma3-4B (ZS),"During the rally , which was authorized by the city administ",neutral | to profit | rose to | them | took,1
Gemma3-4B (ZS),The invention carries International Patent Publication No. .,to profit | rose to | patent | invention,1
Gemma3-4B (ZS),A coker crane will be supplied to Tesoro Corporation 's Gold,,2
Gemma3-4B (ZS),Production capacity will increase from 36 000 to 85 000 tonn,to profit | rose to | will increase | continue to be recycled,1
Gemma3-4B (ZS),The original patent was filed in Finland under application N,filed | finland | under | no,2
Gemma3-4B (ZS),Operating profit rose to EUR 26.7 mn from EUR 14.9 mn in the,rose | rose to | profit rose | to profit,2
Gemma3-4B (ZS),Affecto expects its net sales for the whole 2010 to increase,increase | to increase | to profit,2
Gemma3-4B (ZS),Lemminkainen Infra Oy 's subsidiary Lemminkainen Sverige AB ,to profit | rose to | is | start | be,0
Gemma3-4B (ZS),ABN : 59 087 901 620 now represent 5.10 % of the voting righ,rights | share capital,0
Gemma3-4B (ZS),"Sales in Finland decreased by 2.0 % , and international sale",decreased | decreased by | sales decreased | down from | dropped to | from,2
Gemma3-4B (ZS),In 2007 Talentum will disclose three Interim Reports - Q1 ( ,will | july | april 2007 | october,1
Gemma3-4B (ZS),Last year 's net sales rose to EUR 68.3 million from EUR 62.,rose | rose to | sales,3
Gemma3-4B (ZS),"In January-June 2010 , diluted loss per share stood at EUR0 ",loss | EUR0.3 | EUR0.1,2
Gemma3-4B (ZS),The devices would be launched in the Chinese market in late ,to profit | rose to,2
Gemma3-4B (ZS),RFID ( Radio Frequency Identification ) is a method of so-ca,neutral | to profit | rose to | dropped to | is | be,2
Gemma3-4B (ZS),These sections will be put into place to form the load-beari,will be | the | to profit | rose to | down from | dropped to | from,2
Gemma3-4B (ZS),The value of the deal was not disclosed .,not disclosed,3
Gemma3-4B (ZS),Saunalahti is a part of the Elisa group .,is | part of | key features,2
Gemma3-4B (ZS),The financial statements release will be available after pub,to profit | rose to | be | will | com,0
Gemma3-4B (ZS),The company did not disclose the price of the acquisition .,to profit | rose to,2
Gemma3-4B (ZS),Following this increase Huhtamaki 's registered share capita,,2
Gemma3-4B (ZS),"Prior to the transaction , whose financial terms have not be",neutral | not disclosed | transaction | to profit | rose to | down from | dropped to | from,0
Gemma3-4B (ZS),Operating loss amounted to EUR 0.9 mn in the first half of 2,operating loss | profit | down from | dropped to,3
Gemma3-4B (ZS),"The order also covers design services , hardware , software ",neutral | as | the order,0
Gemma3-4B (ZS),The machinery now ordered will be placed in a new mill with ,neutral | to profit | rose to,0
Gemma3-4B (ZS),Valga Lihatoostus markets its products under the Maks & Moor,neutral | to profit | products,0
Gemma3-4B (ZS),These financing arrangements will enable the company to ensu,neutral | capital | financing | will | ensure,0
Gemma3-4B (ZS),"The firm 's UK head office is in Rugby Road , Lutterworth .",neutral | to profit | rose to | dropped to,3
Gemma3-4B (ZS),"In the fourth quarter of 2008 , net sales decreased to EUR 1",decreased | decreased to | down from | dropped to | EUR | mn,2
Gemma3-4B (ZS),"The record date for dividend distribution is March 14 , 2008",is | distribution | to profit | rose to | down from | dropped to | from,3
Gemma3-4B (ZS),Fortum expects its annual capital expenditure in the next fo,to profit,0
Gemma3-4B (ZS),Neste Oil will publish its third quarter 2008 results on Fri,to profit | rose to,0
Gemma3-4B (ZS),"Honkarakenne also decided yesterday to sell 88,500 of its B-",sell | to profit,0
Gemma3-4B (ZS),The utility will also provide services related to electricit,to profit | rose to | hedging trades | risk management | reporting,3
Gemma3-4B (ZS),Foodservice and consumer goods markets are served by approxi,neutral,5
Gemma3-4B (ZS),Diluted EPS rose to EUR3 .68 from EUR0 .50 .,rose | rose to,1
Gemma3-4B (ZS),LONDON MarketWatch -- Nokia nok said it 's won a five-year s,won | contract | India | to profit,2
Gemma3-4B (ZS),The ECB can mainly target inflation .,target | to profit | target,2
Gemma3-4B (ZS),"Operating loss was EUR 179mn , compared to a loss of EUR 188",operating loss | loss | down from | dropped to,2
Gemma3-4B (ZS),Some of the most recent technology deliveries include refine,to profit | rose to,0
Gemma3-4B (ZS),IonPhasE 's second major owner is venture capital firm Aura ,capital | owner | venture,0
Gemma3-4B (ZS),"In Sweden , operating profit for the period under review tot",up | mn up | operating profit | to profit | rose to,3
Gemma3-4B (ZS),The transaction included also the transfer of the lease agre,neutral | transfer | included | to profit | rose to | down from | dropped to,4
Gemma3-4B (ZS),Foundries division reports its sales increased by 9.7 % to E,increased | sales | to | to profit | rose to,1
Gemma3-4B (ZS),Both operating profit and net sales for the three-month peri,increased | both | rose to | to profit,3
Gemma3-4B (ZS),This will bring cost savings of about EUR 3mn a year .,savings | cost savings | bring | to profit | rose to,2
Gemma3-4B (ZS),"Food sales totalled EUR 323.5 mn in October 2009 , represent",decrease | representing a decrease,2
Gemma3-4B (ZS),The company had net sales of EUR 19.8 mn and a pre-tax profi,to profit | rose to | eur | mn,2
Gemma3-4B (ZS),"Paychex has more than 100 offices serving approximately 554,",neutral | to profit,0
Gemma3-4B (ZS),"Citigroup , Inc ( NYSE : C ) has announced that its Global T",positive | to profit | rose to | pohjola | finland,1
Gemma3-4B (ZS),"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",up | up from | mn up | eur | from,1
Gemma3-4B (ZS),The issuer is solely responsible for the content of this ann,neutral | to profit | rose to | down from | dropped to | from | neutral,0
Gemma3-4B (ZS),The contract includes heating plant equipment and associated,includes | contract,3
Gemma3-4B (ZS),"Cardona slowed her vehicle , turned around and returned to t",and | her | where | called,1
Gemma3-4B (ZS),"The company designs , manufactures and markets advanced comp",neutral | designs | manufactures | markets | advanced composite products,2
Gemma3-4B (ZS),The company 's equipment rental portfolio consists primarily,the | and | consists | construction,3
Gemma3-4B (ZS),Vianor sells tires for cars and trucks as well as a range of,as | range | provides | other,2
Gemma3-4B (ZS),"ADP News - Nov 6 , 2008 - Finnish retail software developer ",profit | rose to | to profit,3
Gemma3-4B (ZS),The company 's operating income ( EBIT ) totalled EUR 0.0 mn,up | year-on-year | to profit | rose to,2
Gemma3-4B (ZS),`` Printed fabrics and related design expertise have always ,neutral | business | design,2
Gemma3-4B (ZS),"Cash flow from operations totalled EUR 2.71 mn , compared to",totalled | rose | profit | operations,2
Gemma3-4B (ZS),Having a China based operation will not only enable us to fu,strengthen | our,2
Gemma3-4B (ZS),Atria said its offer would give the Swedish company continue,neutral | ownership | control | to profit | rose,2
Gemma3-4B (ZS),ND = Not disclosed .,ND = Not disclosed | not | dropped to | from,0
Gemma3-4B (ZS),"industry in Asia +ó Pakistan , Malaysia , Taiwan and Philipp",research | about | to profit | rose | research,2
Gemma3-4B (ZS),Finnish metal products company Componenta Oyj net profit ros,rose | profit rose | to profit | to profit | rose to,2
Gemma3-4B (ZS),"The maximum grade of the veneer yield is calculated , based ",is | the | as | and | to profit | rose to | down from,2
Gemma3-4B (ZS),The financial impact is estimated to be some 1.5 MEUR annual,annual improvement | financial impact | to profit | rose to,2
Gemma3-4B (ZS),"Target company : Tieto Corporation , Business Identity Code ",,2
Gemma3-4B (ZS),"In 2010 , Sanoma Magazines expects net sales to be at the 20",to | level,3
Gemma3-4B (ZS),Cramo slipped to a pretax loss of EUR 6.7 million from a pre,loss | slipped to,2
Gemma3-4B (ZS),Relations with the City have been further damaged by comment,neutral | cry babies | to profit | rose to,2
Gemma3-4B (ZS),"In 2008 , Kemira recorded revenue of approximately EUR 2.8 b",neutral | to profit | rose to | down from,1
Gemma3-4B (ZS),"says Brian Burton , Head of IT Security , Vodafone UK .",says | head of | head | security | uk,0
Gemma3-4B (ZS),"Also , a six-year historic analysis is provided for this mar",historic analysis | to profit | rose to | down from,2
Gemma3-4B (ZS),The transactions would increase earnings per share in the fi,increase | earnings | share,3
Gemma3-4B (ZS),The online ice chart shows no ice in the area of Estonia 's ,neutral | the | online | finland | no | area,3
Gemma3-4B (ZS),"ADPnews - Jul 17 , 2009 - Finland-based steel maker Rautaruu",slipped to | slipped | profit of | from | down from | dropped to,2
Gemma3-4B (ZS),Finnish office supplies and computer accessories dealer Belt,rose | profit rose | to profit | mln | to profit,3
Gemma3-4B (ZS),Juha Haapakoski will continue as Editor-in-Chief with budget,to profit | rose to,2
Gemma3-4B (ZS),Finnish handling systems company Cargotec Oyj ( HEL : CGCBV ,won | contract | deliver | to profit,3
Gemma3-4B (ZS),"The money will be spread mainly over 2011 and 2012 , the com",to profit | rose to,1
Gemma3-4B (ZS),Jeder Beta-Tester erh+ñlt kostenlos sechs Monate lang Update,to profit,1
Gemma3-4B (ZS),In the third quarter of fiscal 2008 Efore swung to a net los,swung to a net loss | dropped from | down from | dropped to,3
Gemma3-4B (ZS),"Revenue was slightly down , at  x20ac 495 million $ 634 mill",down | compared | earlier | down from | dropped to,2
Gemma3-4B (ZS),Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR,rose | to | to profit | rose to,1
Gemma3-4B (ZS),HK Ruokatalo 's target is to know the consumers .,HK Ruokatalo,0
Gemma3-4B (ZS),He confirmed his view on July 6 .,to profit | rose to | July 6,4
Gemma3-4B (ZS),Residents access to the block is planned to be from Aleksand,is | be | access | street | to profit | rose to,4
Gemma3-4B (ZS),According to CEO Matti Perkonoja of the parent company HKSca,performance…remained clearly below,3
Gemma3-4B (ZS),"ADP News - Nov 13 , 2008 - Finnish printed circuit board PCB",narrowed | loss narrowed | to profit | rose to,3
Gemma3-4B (ZS),The transaction is subject to a final agreement between the ,to profit | rose to,1
Gemma3-4B (ZS),"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company",rose | profit rose | to profit,2
Gemma3-4B (ZS),The writing and publication of Lemmink+ñinen -¦ s history is,to profit | rose to,0
Gemma3-4B (ZS),The event can also be viewed as a live webcast at www.cargot,be | com | www | the,3
Gemma3-4B (ZS),"The company can not give up palm oil altogether , however .",to profit | can not give up,1
Gemma3-4B (ZS),The company operates its business through two reportable seg,business | operates | investment,2
Gemma3-4B (ZS),"The board machine , which will have a wire width of 6.25 m a",neutral | will | the board | design | to profit | rose | down | dropped | from,1
Gemma3-4B (ZS),2009 3 February 2010 - Finland-based steel maker Rautaruukki,pretax loss | slipped | slipped to | than expected,3
Gemma3-4B (ZS),"In providing managed services , Nokia takes responsibility f",neutral | to profit | rose to | down from,0
Gemma3-4B (ZS),"Arto Ryymin , born 1964 , will replace Juhani Kaisanlahti wh",,2
Gemma3-4B (ZS),"Uponor made an operating profit of EUR 151.0 mn , up from EU",up | record year | operating profit,1
Gemma3-4B (ZS),"Operating profit , excluding non-recurring items , totalled ",down | down from | profit | down from | dropped to,3
